LR,Heads,Embeddings,Block Size,Batch Size,Layers,Step,Training Loss,Validation Loss,Accumulated Time Sec
0.0006,8,512,64,48,4,0,4.6449,4.6357,21.496329307556152
0.0006,8,512,64,48,4,100,2.3244,2.4236,38.95056128501892
0.0006,8,512,64,48,4,200,1.8846,2.0887,68.99483609199524
0.0006,8,512,64,48,4,300,1.6664,1.9209,111.40110111236572
0.0006,8,512,64,48,4,400,1.5307,1.8287,139.47035574913025
0.0006,8,512,64,48,4,500,1.4287,1.8084,163.5792145729065
0.0006,8,512,64,48,4,600,1.3392,1.7802,180.8676881790161
0.0006,8,512,64,48,4,700,1.2782,1.7584,192.82235646247864
0.0006,8,512,64,48,4,800,1.2081,1.7633,204.72425603866577
0.0006,8,512,64,48,4,900,1.1626,1.7650,216.50142073631287
0.0006,8,512,64,48,4,1000,1.0983,1.8169,228.27202582359314
0.0006,8,512,64,48,4,1100,1.0365,1.8177,240.03201055526733
0.0006,8,512,64,48,4,1200,0.9936,1.8288,251.83630061149597
0.0006,8,512,64,48,4,1300,0.9399,1.8710,263.63147807121277
0.0006,8,512,64,48,4,1400,0.8896,1.8547,275.4036955833435
0.0006,8,512,64,48,4,1500,0.8389,1.8859,287.15993785858154
0.0006,8,512,64,48,4,1600,0.7936,1.9308,298.9221315383911
0.0006,8,512,64,48,4,1700,0.7430,1.9810,310.68336272239685
0.0006,8,512,64,48,4,1800,0.7011,2.0198,322.44595885276794
0.0006,8,512,64,48,4,1900,0.6637,2.0472,334.19267106056213
0.0006,8,512,64,48,4,2000,0.6127,2.1138,345.9691755771637
0.0006,8,512,64,48,4,2100,0.5726,2.1237,357.746787071228
0.0006,8,512,64,48,4,2200,0.5350,2.1741,369.4942800998688
0.0006,8,512,64,48,4,2300,0.4995,2.2431,381.2514133453369
0.0006,8,512,64,48,4,2400,0.4767,2.3301,392.9911324977875
0.0006,8,512,64,48,4,2500,0.4430,2.3398,404.7342748641968
0.0006,8,512,64,48,4,2600,0.4214,2.3524,417.03648471832275
0.0006,8,512,64,48,4,2700,0.3921,2.4583,428.8241112232208
0.0006,8,512,64,48,4,2800,0.3708,2.4891,440.59112453460693
0.0006,8,512,64,48,4,2900,0.3482,2.5424,452.3681390285492
0.0006,8,512,64,48,4,3000,0.3345,2.6105,464.8201684951782
0.0006,8,512,64,48,4,3100,0.3166,2.6406,478.6571946144104
0.0006,8,512,64,48,4,3200,0.3033,2.6856,492.40125036239624
0.0006,8,512,64,48,4,3300,0.2883,2.7323,506.3322551250458
0.0006,8,512,64,48,4,3400,0.2795,2.7763,520.3346045017242
0.0006,8,512,64,48,4,3500,0.2690,2.8075,534.0294396877289
0.0006,8,512,64,48,4,3600,0.2617,2.8199,547.769020318985
0.0006,8,512,64,48,4,3700,0.2520,2.9370,561.1967196464539
0.0006,8,512,64,48,4,3800,0.2441,2.9350,574.7399718761444
0.0006,8,512,64,48,4,3900,0.2427,2.9447,586.7355554103851
0.0006,8,512,64,48,4,4000,0.2344,2.9914,598.4647324085236
0.0006,8,512,64,48,4,4100,0.2310,3.0696,610.2102813720703
0.0006,8,512,64,48,4,4200,0.2303,3.1080,621.9518716335297
0.0006,8,512,64,48,4,4300,0.2248,3.0998,633.6956911087036
0.0006,8,512,64,48,4,4400,0.2182,3.1734,645.4183619022369
0.0006,8,512,64,48,4,4500,0.2166,3.1600,657.138751745224
0.0006,8,512,64,48,4,4600,0.2128,3.1510,668.8565728664398
0.0006,8,512,64,48,4,4700,0.2120,3.2155,680.588237285614
0.0006,8,512,64,48,4,4800,0.2107,3.2597,692.3208417892456
0.0006,8,512,64,48,4,4900,0.2090,3.2801,704.1212792396545
0.0006,8,512,64,48,6,0,4.6294,4.6239,9.6113920211792
0.0006,8,512,64,48,6,100,2.4111,2.4974,27.141399383544922
0.0006,8,512,64,48,6,200,1.9597,2.1370,44.1996533870697
0.0006,8,512,64,48,6,300,1.6968,1.9504,61.266966342926025
0.0006,8,512,64,48,6,400,1.5432,1.8587,78.32043504714966
0.0006,8,512,64,48,6,500,1.4235,1.7877,95.54796957969666
0.0006,8,512,64,48,6,600,1.3326,1.7621,113.38879466056824
0.0006,8,512,64,48,6,700,1.2558,1.7545,130.41737604141235
0.0006,8,512,64,48,6,800,1.1809,1.7516,147.52264022827148
0.0006,8,512,64,48,6,900,1.1191,1.7828,164.6222846508026
0.0006,8,512,64,48,6,1000,1.0481,1.7866,181.6939091682434
0.0006,8,512,64,48,6,1100,0.9852,1.8296,198.73488593101501
0.0006,8,512,64,48,6,1200,0.9151,1.8446,215.78804683685303
0.0006,8,512,64,48,6,1300,0.8683,1.8773,232.9174087047577
0.0006,8,512,64,48,6,1400,0.8041,1.9166,249.94465255737305
0.0006,8,512,64,48,6,1500,0.7503,1.9473,266.9867932796478
0.0006,8,512,64,48,6,1600,0.7002,2.0261,284.0457639694214
0.0006,8,512,64,48,6,1700,0.6468,2.0568,301.2149200439453
0.0006,8,512,64,48,6,1800,0.5916,2.0884,318.2997612953186
0.0006,8,512,64,48,6,1900,0.5493,2.1671,335.46618700027466
0.0006,8,512,64,48,6,2000,0.5032,2.2302,352.77869153022766
0.0006,8,512,64,48,6,2100,0.4609,2.2655,369.91106247901917
0.0006,8,512,64,48,6,2200,0.4236,2.3450,386.9896733760834
0.0006,8,512,64,48,6,2300,0.3989,2.4099,404.04180550575256
0.0006,8,512,64,48,6,2400,0.3696,2.4880,421.1992127895355
0.0006,8,512,64,48,6,2500,0.3443,2.4745,438.3069808483124
0.0006,8,512,64,48,6,2600,0.3260,2.5348,455.31591796875
0.0006,8,512,64,48,6,2700,0.3060,2.6257,472.2914819717407
0.0006,8,512,64,48,6,2800,0.2889,2.6895,489.2757318019867
0.0006,8,512,64,48,6,2900,0.2775,2.7565,506.3556561470032
0.0006,8,512,64,48,6,3000,0.2677,2.7610,523.3450081348419
0.0006,8,512,64,48,6,3100,0.2554,2.8557,540.3468546867371
0.0006,8,512,64,48,6,3200,0.2480,2.8514,557.3646268844604
0.0006,8,512,64,48,6,3300,0.2371,2.9271,574.4524562358856
0.0006,8,512,64,48,6,3400,0.2323,2.9542,591.4472246170044
0.0006,8,512,64,48,6,3500,0.2295,2.9528,608.4425592422485
0.0006,8,512,64,48,6,3600,0.2229,3.0692,625.4570803642273
0.0006,8,512,64,48,6,3700,0.2209,3.0955,642.5114481449127
0.0006,8,512,64,48,6,3800,0.2175,3.0942,659.5059883594513
0.0006,8,512,64,48,6,3900,0.2133,3.1592,676.4992792606354
0.0006,8,512,64,48,6,4000,0.2129,3.1084,693.5437784194946
0.0006,8,512,64,48,6,4100,0.2079,3.1785,710.5583648681641
0.0006,8,512,64,48,6,4200,0.2067,3.2335,727.539449930191
0.0006,8,512,64,48,6,4300,0.2027,3.2480,744.5114583969116
0.0006,8,512,64,48,6,4400,0.2011,3.3089,761.5691463947296
0.0006,8,512,64,48,6,4500,0.2008,3.3239,778.5521514415741
0.0006,8,512,64,48,6,4600,0.2000,3.3584,795.5329303741455
0.0006,8,512,64,48,6,4700,0.1959,3.3480,812.5256948471069
0.0006,8,512,64,48,6,4800,0.1960,3.3195,829.5778276920319
0.0006,8,512,64,48,6,4900,0.1943,3.3435,846.5736503601074
0.0006,8,512,128,48,4,0,4.5675,4.5740,10.95106554031372
0.0006,8,512,128,48,4,100,2.4374,2.5278,30.085361003875732
0.0006,8,512,128,48,4,200,2.0359,2.2025,49.48351240158081
0.0006,8,512,128,48,4,300,1.7105,1.9607,68.61298084259033
0.0006,8,512,128,48,4,400,1.5094,1.8401,87.78500604629517
0.0006,8,512,128,48,4,500,1.3676,1.7705,106.83883690834045
0.0006,8,512,128,48,4,600,1.2500,1.7266,126.12865424156189
0.0006,8,512,128,48,4,700,1.1419,1.7403,145.3952670097351
0.0006,8,512,128,48,4,800,1.0382,1.7586,164.35728931427002
0.0006,8,512,128,48,4,900,0.9510,1.8097,183.5907998085022
0.0006,8,512,128,48,4,1000,0.8543,1.8450,202.69645142555237
0.0006,8,512,128,48,4,1100,0.7534,1.8764,221.6403727531433
0.0006,8,512,128,48,4,1200,0.6539,1.9775,240.79609727859497
0.0006,8,512,128,48,4,1300,0.5680,2.0764,260.06737661361694
0.0006,8,512,128,48,4,1400,0.4961,2.1446,279.3167655467987
0.0006,8,512,128,48,4,1500,0.4202,2.2500,298.5614171028137
0.0006,8,512,128,48,4,1600,0.3553,2.3620,317.86348819732666
0.0006,8,512,128,48,4,1700,0.2961,2.4290,336.991464138031
0.0006,8,512,128,48,4,1800,0.2571,2.5528,356.2468378543854
0.0006,8,512,128,48,4,1900,0.2254,2.6672,375.5237579345703
0.0006,8,512,128,48,4,2000,0.2008,2.7047,394.7589294910431
0.0006,8,512,128,48,4,2100,0.1814,2.8077,413.9864249229431
0.0006,8,512,128,48,4,2200,0.1677,2.8679,433.27115511894226
0.0006,8,512,128,48,4,2300,0.1543,3.0139,452.5551519393921
0.0006,8,512,128,48,4,2400,0.1477,3.0930,471.80659651756287
0.0006,8,512,128,48,4,2500,0.1402,3.1291,491.0712797641754
0.0006,8,512,128,48,4,2600,0.1350,3.1465,510.37118101119995
0.0006,8,512,128,48,4,2700,0.1282,3.2486,529.6173570156097
0.0006,8,512,128,48,4,2800,0.1275,3.3027,548.6827273368835
0.0006,8,512,128,48,4,2900,0.1223,3.3167,567.8307411670685
0.0006,8,512,128,48,4,3000,0.1200,3.3332,586.9722054004669
0.0006,8,512,128,48,4,3100,0.1183,3.3805,606.1160669326782
0.0006,8,512,128,48,4,3200,0.1175,3.3920,625.1645889282227
0.0006,8,512,128,48,4,3300,0.1137,3.4394,644.4415059089661
0.0006,8,512,128,48,4,3400,0.1132,3.5110,663.7094919681549
0.0006,8,512,128,48,4,3500,0.1115,3.5279,682.9618213176727
0.0006,8,512,128,48,4,3600,0.1115,3.5486,702.2377610206604
0.0006,8,512,128,48,4,3700,0.1094,3.6005,721.4800615310669
0.0006,8,512,128,48,4,3800,0.1077,3.6516,740.7721834182739
0.0006,8,512,128,48,4,3900,0.1067,3.6898,760.0543127059937
0.0006,8,512,128,48,4,4000,0.1064,3.6876,779.3313875198364
0.0006,8,512,128,48,4,4100,0.1058,3.7039,798.5879235267639
0.0006,8,512,128,48,4,4200,0.1053,3.7154,817.866898059845
0.0006,8,512,128,48,4,4300,0.1047,3.7227,837.1535542011261
0.0006,8,512,128,48,4,4400,0.1026,3.7533,856.3969502449036
0.0006,8,512,128,48,4,4500,0.1017,3.7812,875.6403088569641
0.0006,8,512,128,48,4,4600,0.1013,3.8116,894.8958988189697
0.0006,8,512,128,48,4,4700,0.1026,3.8494,914.1952984333038
0.0006,8,512,128,48,4,4800,0.1009,3.8644,933.4720239639282
0.0006,8,512,128,48,4,4900,0.1014,3.9012,952.6954934597015
0.0006,8,512,128,48,6,0,4.6682,4.6683,15.977899074554443
0.0006,8,512,128,48,6,100,2.4641,2.5583,43.43290734291077
0.0006,8,512,128,48,6,200,2.1126,2.2715,70.98426508903503
0.0006,8,512,128,48,6,300,1.7495,1.9865,98.39646768569946
0.0006,8,512,128,48,6,400,1.5293,1.8600,125.67900013923645
0.0006,8,512,128,48,6,500,1.3684,1.7981,153.0989727973938
0.0006,8,512,128,48,6,600,1.2337,1.7535,180.41175246238708
0.0006,8,512,128,48,6,700,1.1251,1.7596,207.95310950279236
0.0006,8,512,128,48,6,800,1.0052,1.7804,235.31236386299133
0.0006,8,512,128,48,6,900,0.8906,1.8146,262.7173011302948
0.0006,8,512,128,48,6,1000,0.7868,1.8722,290.16605043411255
0.0006,8,512,128,48,6,1100,0.6778,1.9768,317.580486536026
0.0006,8,512,128,48,6,1200,0.5756,2.0181,345.08929228782654
0.0006,8,512,128,48,6,1300,0.4760,2.1628,372.40768480300903
0.0006,8,512,128,48,6,1400,0.3943,2.2477,399.8041853904724
0.0006,8,512,128,48,6,1500,0.3244,2.3758,427.06209421157837
0.0006,8,512,128,48,6,1600,0.2660,2.4878,454.4022946357727
0.0006,8,512,128,48,6,1700,0.2258,2.6595,481.89855694770813
0.0006,8,512,128,48,6,1800,0.1966,2.6973,509.2464461326599
0.0006,8,512,128,48,6,1900,0.1755,2.8488,536.8294196128845
0.0006,8,512,128,48,6,2000,0.1602,2.9252,564.2855355739594
0.0006,8,512,128,48,6,2100,0.1479,3.0575,591.6683304309845
0.0006,8,512,128,48,6,2200,0.1387,3.0961,619.2613210678101
0.0006,8,512,128,48,6,2300,0.1326,3.1620,646.5348029136658
0.0006,8,512,128,48,6,2400,0.1287,3.2179,673.9358646869659
0.0006,8,512,128,48,6,2500,0.1242,3.2967,701.207001209259
0.0006,8,512,128,48,6,2600,0.1223,3.3667,728.5378317832947
0.0006,8,512,128,48,6,2700,0.1192,3.3532,755.7984457015991
0.0006,8,512,128,48,6,2800,0.1155,3.4723,783.2486898899078
0.0006,8,512,128,48,6,2900,0.1144,3.5012,810.7111401557922
0.0006,8,512,128,48,6,3000,0.1139,3.5427,838.0698072910309
0.0006,8,512,128,48,6,3100,0.1121,3.5535,865.6011166572571
0.0006,8,512,128,48,6,3200,0.1100,3.6492,893.1343748569489
0.0006,8,512,128,48,6,3300,0.1090,3.6224,920.6784727573395
0.0006,8,512,128,48,6,3400,0.1082,3.7004,948.0649061203003
0.0006,8,512,128,48,6,3500,0.1063,3.7480,975.3987774848938
0.0006,8,512,128,48,6,3600,0.1059,3.7245,1003.0156631469727
0.0006,8,512,128,48,6,3700,0.1055,3.7539,1030.4972853660583
0.0006,8,512,128,48,6,3800,0.1038,3.7703,1057.9442737102509
0.0006,8,512,128,48,6,3900,0.1036,3.8096,1085.576967716217
0.0006,8,512,128,48,6,4000,0.1028,3.8665,1112.770545721054
0.0006,8,512,128,48,6,4100,0.1012,3.8077,1140.1740863323212
0.0006,8,512,128,48,6,4200,0.1015,3.8499,1167.5800890922546
0.0006,8,512,128,48,6,4300,0.1015,3.8551,1195.037706375122
0.0006,8,512,128,48,6,4400,0.1006,3.8731,1222.218948841095
0.0006,8,512,128,48,6,4500,0.0995,3.9523,1249.6771125793457
0.0006,8,512,128,48,6,4600,0.0998,3.9102,1276.8475515842438
0.0006,8,512,128,48,6,4700,0.0990,3.9247,1304.0473048686981
0.0006,8,512,128,48,6,4800,0.0978,3.9897,1331.1979248523712
0.0006,8,512,128,48,6,4900,0.0983,4.0102,1358.5840656757355
0.0006,8,512,64,64,4,0,4.5610,4.5642,8.126012086868286
0.0006,8,512,64,64,4,100,2.2917,2.3986,22.549309730529785
0.0006,8,512,64,64,4,200,1.8492,2.0441,36.884984254837036
0.0006,8,512,64,64,4,300,1.6145,1.9037,51.23652195930481
0.0006,8,512,64,64,4,400,1.4795,1.8117,65.57954239845276
0.0006,8,512,64,64,4,500,1.3792,1.8079,79.961345911026
0.0006,8,512,64,64,4,600,1.2811,1.7461,94.31641626358032
0.0006,8,512,64,64,4,700,1.2016,1.7571,108.64828062057495
0.0006,8,512,64,64,4,800,1.1319,1.7787,123.00017619132996
0.0006,8,512,64,64,4,900,1.0674,1.7885,137.3514814376831
0.0006,8,512,64,64,4,1000,0.9911,1.8192,151.74730324745178
0.0006,8,512,64,64,4,1100,0.9360,1.8312,166.10566759109497
0.0006,8,512,64,64,4,1200,0.8693,1.8671,180.44415926933289
0.0006,8,512,64,64,4,1300,0.8173,1.9126,194.8014271259308
0.0006,8,512,64,64,4,1400,0.7588,1.9697,209.17633771896362
0.0006,8,512,64,64,4,1500,0.6956,2.0088,223.56425213813782
0.0006,8,512,64,64,4,1600,0.6381,2.0363,237.902193069458
0.0006,8,512,64,64,4,1700,0.5922,2.1309,252.24846935272217
0.0006,8,512,64,64,4,1800,0.5424,2.1584,266.5972213745117
0.0006,8,512,64,64,4,1900,0.4994,2.2484,280.9959809780121
0.0006,8,512,64,64,4,2000,0.4588,2.2853,295.3498718738556
0.0006,8,512,64,64,4,2100,0.4233,2.3186,309.6926097869873
0.0006,8,512,64,64,4,2200,0.3906,2.4325,324.04360580444336
0.0006,8,512,64,64,4,2300,0.3648,2.4582,338.3785605430603
0.0006,8,512,64,64,4,2400,0.3415,2.5026,352.7602379322052
0.0006,8,512,64,64,4,2500,0.3187,2.5762,367.10413432121277
0.0006,8,512,64,64,4,2600,0.2983,2.6602,381.45590710639954
0.0006,8,512,64,64,4,2700,0.2869,2.7204,395.8135733604431
0.0006,8,512,64,64,4,2800,0.2735,2.7589,410.2053084373474
0.0006,8,512,64,64,4,2900,0.2623,2.8099,424.5492355823517
0.0006,8,512,64,64,4,3000,0.2520,2.8417,438.89188528060913
0.0006,8,512,64,64,4,3100,0.2471,2.8412,453.22854495048523
0.0006,8,512,64,64,4,3200,0.2378,2.9451,467.5785758495331
0.0006,8,512,64,64,4,3300,0.2316,2.9644,481.95924830436707
0.0006,8,512,64,64,4,3400,0.2242,3.0345,496.3053069114685
0.0006,8,512,64,64,4,3500,0.2227,3.0365,510.68607449531555
0.0006,8,512,64,64,4,3600,0.2187,3.0981,525.0239777565002
0.0006,8,512,64,64,4,3700,0.2144,3.1489,539.3865511417389
0.0006,8,512,64,64,4,3800,0.2102,3.1301,553.7640743255615
0.0006,8,512,64,64,4,3900,0.2134,3.1588,568.1118495464325
0.0006,8,512,64,64,4,4000,0.2071,3.1661,582.4513339996338
0.0006,8,512,64,64,4,4100,0.2065,3.2475,596.7908861637115
0.0006,8,512,64,64,4,4200,0.2011,3.2486,611.1752388477325
