LR,Heads,Embeddings,Block Size,Batch Size,Layers,Step,Training Loss,Validation Loss,Accumulated Time Sec
0.0006,1,64,32,32,2,0,4.6626,4.6637,0.925250768661499
0.0006,1,64,32,32,2,100,2.8679,2.9023,2.383279800415039
0.0006,1,64,32,32,2,200,2.6251,2.6913,3.8530871868133545
0.0006,1,64,32,32,2,300,2.5073,2.5887,5.359282970428467
0.0006,1,64,32,32,2,400,2.3999,2.4992,6.8857200145721436
0.0006,1,64,32,32,4,0,4.7087,4.6956,1.3841404914855957
0.0006,1,64,32,32,4,100,2.7913,2.8379,3.719820261001587
0.0006,1,64,32,32,4,200,2.5765,2.6387,6.021679639816284
0.0006,1,64,32,32,4,300,2.4262,2.5066,8.343538999557495
0.0006,1,64,32,32,4,400,2.3294,2.4133,10.599827289581299
0.0006,1,64,32,32,6,0,4.6378,4.6389,1.882737159729004
0.0006,1,64,32,32,6,100,2.7563,2.8009,4.993450880050659
0.0006,1,64,32,32,6,200,2.5610,2.6475,8.175923585891724
0.0006,1,64,32,32,6,300,2.3939,2.4810,11.297141790390015
0.0006,1,64,32,32,6,400,2.2728,2.3800,14.430277347564697
0.0006,1,64,64,32,2,0,4.6570,4.6612,1.0097455978393555
0.0006,1,64,64,32,2,100,2.8579,2.8993,2.566605806350708
0.0006,1,64,64,32,2,200,2.6550,2.7157,4.128730297088623
0.0006,1,64,64,32,2,300,2.5632,2.6385,5.6904895305633545
0.0006,1,64,64,32,2,400,2.4776,2.5578,7.243569850921631
0.0006,1,64,64,32,4,0,4.6500,4.6503,1.4272615909576416
0.0006,1,64,64,32,4,100,2.7833,2.8213,3.8065664768218994
0.0006,1,64,64,32,4,200,2.5945,2.6504,6.238551616668701
0.0006,1,64,64,32,4,300,2.5147,2.5817,8.6420259475708
0.0006,1,64,64,32,4,400,2.4372,2.5086,11.036593437194824
0.0006,1,64,64,32,6,0,4.6601,4.6612,1.8345420360565186
0.0006,1,64,64,32,6,100,2.7278,2.7699,5.0603673458099365
0.0006,1,64,64,32,6,200,2.5764,2.6389,8.28493857383728
0.0006,1,64,64,32,6,300,2.4707,2.5464,11.557363510131836
0.0006,1,64,64,32,6,400,2.3700,2.4585,15.005210399627686
0.0006,1,64,128,32,2,0,4.6065,4.6062,1.0592916011810303
