LR,Heads,Embeddings,Block Size,Batch Size,Layers,Step,Training Loss,Validation Loss,Accumulated Time Sec
0.0006,6,384,32,32,2,0,4.6367,4.6515,2.0049192905426025
0.0006,6,384,32,32,2,100,2.3377,2.4433,5.575308322906494
0.0006,6,384,32,32,2,200,2.0558,2.2115,9.162715196609497
0.0006,6,384,32,32,2,300,1.9110,2.0790,12.785624742507935
0.0006,6,384,32,32,2,400,1.8154,2.0480,16.41456365585327
0.0006,6,384,32,32,2,500,1.7362,1.9695,20.068354606628418
0.0006,6,384,32,32,2,600,1.6967,1.9355,23.72380495071411
0.0006,6,384,32,32,2,700,1.6299,1.8959,27.422515630722046
0.0006,6,384,32,32,2,800,1.5973,1.8776,31.399014711380005
0.0006,6,384,32,32,2,900,1.5550,1.8439,35.326355934143066
0.0006,6,384,32,32,2,1000,1.5330,1.8648,39.12893867492676
0.0006,6,384,32,32,2,1100,1.4993,1.8285,42.95091271400452
0.0006,6,384,32,32,2,1200,1.4677,1.8142,46.661441802978516
0.0006,6,384,32,32,2,1300,1.4479,1.7956,50.391916036605835
0.0006,6,384,32,32,2,1400,1.4349,1.8190,54.060027837753296
0.0006,6,384,32,32,4,0,4.5710,4.5773,3.686624050140381
0.0006,6,384,32,32,4,100,2.3208,2.4308,10.165972232818604
0.0006,6,384,32,32,4,200,2.0022,2.1818,17.13870859146118
0.0006,6,384,32,32,4,300,1.8490,2.0390,24.500537157058716
0.0006,6,384,32,32,4,400,1.7458,1.9726,31.900564193725586
0.0006,6,384,32,32,4,500,1.6762,1.9470,39.10271954536438
0.0006,6,384,32,32,4,600,1.6129,1.8683,46.45959448814392
0.0006,6,384,32,32,4,700,1.5604,1.8361,53.96708273887634
0.0006,6,384,32,32,4,800,1.5231,1.8297,61.08927822113037
0.0006,6,384,32,32,4,900,1.4870,1.8275,67.91403937339783
0.0006,6,384,32,32,4,1000,1.4650,1.8061,74.9489541053772
0.0006,6,384,32,32,4,1100,1.4282,1.7926,81.81846284866333
0.0006,6,384,32,32,4,1200,1.4054,1.7844,88.66661500930786
0.0006,6,384,32,32,4,1300,1.3803,1.8124,95.6321029663086
0.0006,6,384,32,32,4,1400,1.3496,1.7636,102.89626741409302
0.0006,6,384,32,32,6,0,4.6323,4.6204,5.473384380340576
0.0006,6,384,32,32,6,100,2.3447,2.4475,15.482184171676636
0.0006,6,384,32,32,6,200,2.0227,2.1834,25.416788578033447
0.0006,6,384,32,32,6,300,1.8549,2.0458,35.816521406173706
0.0006,6,384,32,32,6,400,1.7385,1.9687,46.20089912414551
0.0006,6,384,32,32,6,500,1.6652,1.9236,57.82535719871521
0.0006,6,384,32,32,6,600,1.6054,1.8747,68.73606014251709
0.0006,6,384,32,32,6,700,1.5461,1.8512,79.57922601699829
0.0006,6,384,32,32,6,800,1.5144,1.8222,90.86924076080322
0.0006,6,384,32,32,6,900,1.4622,1.8227,101.46312713623047
0.0006,6,384,32,32,6,1000,1.4243,1.7961,112.64403772354126
0.0006,6,384,32,32,6,1100,1.4015,1.7814,123.59046483039856
0.0006,6,384,32,32,6,1200,1.3769,1.8007,134.6986153125763
0.0006,6,384,32,32,6,1300,1.3498,1.7817,144.72534227371216
0.0006,6,384,32,32,6,1400,1.3316,1.7601,154.96496295928955
0.0006,6,384,64,32,2,0,4.6312,4.6341,2.4960436820983887
0.0006,6,384,64,32,2,100,2.4172,2.5068,6.613710165023804
0.0006,6,384,64,32,2,200,2.0757,2.2267,11.276035785675049
0.0006,6,384,64,32,2,300,1.9114,2.0995,15.848544597625732
0.0006,6,384,64,32,2,400,1.7887,1.9888,20.07660174369812
0.0006,6,384,64,32,2,500,1.6830,1.9294,24.440382719039917
0.0006,6,384,64,32,2,600,1.6012,1.8806,29.013428926467896
0.0006,6,384,64,32,2,700,1.5407,1.8290,33.24917793273926
0.0006,6,384,64,32,2,800,1.4887,1.8284,37.53398275375366
0.0006,6,384,64,32,2,900,1.4435,1.8011,41.76246953010559
0.0006,6,384,64,32,2,1000,1.4031,1.7769,45.979878425598145
0.0006,6,384,64,32,2,1100,1.3617,1.7619,50.29400372505188
